Date,AAPL,MSFT,NVDA,AMZN,TSLA
6/11/2024,205.1940002,425.1848755,120.7110443,187.2299957,170.6600037
6/12/2024,211.0581207,433.4197693,124.9939804,186.8899994,177.2899933
6/13/2024,212.2170563,433.9307251,129.3967438,183.8300018,182.4700012
6/14/2024,210.4835815,434.9035645,131.6630096,183.6600037,178.0099945
6/17/2024,214.6241302,440.6030884,130.7644806,184.0599976,187.4400024
6/18/2024,212.266571,438.6082764,135.3569031,182.8099976,184.8600006
6/20/2024,207.700119,437.9794006,130.5648193,186.1000061,181.5700073
6/21/2024,205.5308075,441.988678,126.3617477,189.0800018,183.0099945
6/24/2024,206.1746826,439.9152527,117.9156342,185.5700073,182.5800018
6/25/2024,207.0959167,443.1383972,125.8825073,186.3399963,187.3500061
6/26/2024,211.2364197,444.3274536,126.1920242,193.6100006,196.3699951
6/27/2024,212.0783997,445.0054932,123.7859726,197.8500061,197.4199982
6/28/2024,208.6312561,439.2076721,123.3367157,193.25,197.8800049
7/1/2024,214.7033844,448.8183594,124.095459,197.1999969,209.8600006
7/2/2024,218.1901093,451.3240662,122.4681396,200,231.2599945
7/3/2024,219.4580383,452.788269,128.068924,197.5899963,246.3899994
7/5/2024,224.2028198,459.4607239,125.6229477,200,251.5200043
7/8/2024,225.668869,458.1635437,127.9890213,199.2899933,252.9400024
7/9/2024,226.5207367,451.5796509,131.1638336,199.3399963,262.3299866
7/10/2024,230.7801208,458.1734009,134.6880035,199.7899933,263.2600098
7/11/2024,225.4212189,446.8234253,127.1903687,195.0500031,241.0299988
7/12/2024,228.3631439,445.6933289,129.0273285,194.4900055,248.2299957
7/15/2024,232.1867218,446.0962524,128.2286377,192.7200012,252.6399994
7/16/2024,232.6027679,441.7331238,126.1520691,193.0200043,256.5599976
7/17/2024,226.7188416,435.8371582,117.7958374,187.9299927,248.5
7/18/2024,222.0632019,432.7416382,120.8907318,183.75,249.2299957
7/19/2024,222.1919708,429.538147,117.7359543,183.1300049,239.1999969
7/22/2024,221.8452911,435.2671814,123.3367157,182.5500031,251.5099945
7/23/2024,222.8853607,437.144104,122.3882828,186.4100037,246.3800049
7/24/2024,216.4764557,421.4703979,114.0619965,180.8300018,215.9900055
7/25/2024,215.4363556,411.1522522,112.0952454,179.8500061,220.25
7/26/2024,215.901947,417.9032593,112.8739471,182.5,219.8000031
7/29/2024,216.1792908,419.3379517,111.4063797,183.1999969,232.1000061
7/30/2024,216.734024,415.5939941,103.5593033,181.7100067,222.6199951
7/31/2024,219.9830475,411.1031189,116.8274307,186.9799957,232.0700073
8/1/2024,216.2981567,409.8845825,109.0302887,184.0700073,216.8600006
8/2/2024,217.7840118,401.4139404,107.0934753,167.8999939,207.6699982
8/5/2024,207.2940063,388.3049927,100.2847137,161.0200043,198.8800049
8/6/2024,205.2732391,392.6877747,104.0784607,161.9299927,200.6399994
8/7/2024,207.8388367,391.5281982,98.74724579,162.7700043,191.7599945
8/8/2024,211.2958374,395.7143555,104.7972794,165.8000031,198.8399963
8/9/2024,214.1981964,398.9866638,104.5776367,166.9400024,200
8/12/2024,215.7254028,399.7630615,108.8406067,166.8000031,197.4900055
8/13/2024,219.4343872,406.8383179,115.9488907,170.2299957,207.8300018
8/14/2024,219.8806763,409.638916,117.8857117,170.1000061,201.3800049
8/15/2024,222.8557739,414.4824219,122.6578369,177.5899963,214.1399994
8/16/2024,224.1747437,411.9622498,124.375,177.0599976,216.1199951
8/19/2024,224.016037,414.9746399,129.786087,178.2200012,222.7200012
8/20/2024,224.6309204,418.1938171,127.0406113,178.8800049,221.1000061
8/21/2024,224.5218353,417.5440979,128.2885742,180.1100006,223.2700043
8/22/2024,222.6673584,409.0876465,123.5363846,176.1300049,210.6600037
8/23/2024,224.9581604,410.3083496,129.1571198,177.0399933,220.3200073
8/26/2024,225.2953491,407.0596619,126.2518997,175.5,213.2100067
